App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
FH Wallet,FINANCE,NaN,0,9.9,1,Free,0,Everyone,Finance,26-Jul-18,4.1 and up
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,NaN,0,5,1,Paid,$0.99 ,Everyone,Medical,24-Jul-18,4.0.3 and up
Pistachio Launcher for Android P 9.0,PERSONALIZATION,NaN,0,2.3,1,Paid,$1.49 ,Everyone,Personalization,11-Jul-18,4.1 and up
Custos F.O.,BUSINESS,NaN,0,9.7,1,Free,0,Everyone,Business,20-Jun-18,4.1 and up
Ako ay may lobo Pinoy Kid Song Offline,FAMILY,NaN,0,9.7,1,Free,0,Mature 17+,Entertainment,30-Jul-18,2.3 and up
EF First,FAMILY,NaN,0,1.6,1,Free,0,Everyone,Entertainment,9-Feb-18,4.0.3 and up
CE Genius Nurses Edition,MEDICAL,NaN,0,5.1,1,Paid,$3.99 ,Everyone,Medical,1-Jun-18,4.0.3 and up
PAY DT,BUSINESS,NaN,0,5.3,1,Free,0,Everyone,Business,6-Feb-18,4.0 and up
Aproveita DF,LIFESTYLE,NaN,0,3.3,1,Free,0,Everyone,Lifestyle,2-Aug-18,4.0 and up
Dr D K Olukoya,LIFESTYLE,NaN,0,3.3,1,Free,0,Teen,Lifestyle,25-Jul-18,4.1 and up
Kick Axe Bx,HEALTH_AND_FITNESS,NaN,0,9.3,1,Free,0,Everyone,Health & Fitness,7-Jun-17,4.0 and up
FP Boss,FINANCE,NaN,1,5.8,1,Free,0,Everyone,Finance,27-Jul-18,5.0 and up
DN Snacks,BUSINESS,NaN,0,7.6,1,Free,0,Everyone,Business,9-Apr-18,4.0 and up
EB Experience,LIFESTYLE,NaN,0,1.8,1,Free,0,Everyone,Lifestyle,19-Oct-17,4.0.3 and up
BH - Fitness & Nutrition,HEALTH_AND_FITNESS,NaN,0,43,1,Free,0,Everyone,Health & Fitness,4-Jul-18,4.1 and up
RMEduS - 음성인식을 활용한 R 프로그래밍 실습 시스템,FAMILY,NaN,4,64,1,Free,0,Everyone,Education,17-Jul-18,4.4 and up
FD CANNECT,TOOLS,NaN,1,75,1,Free,0,Everyone,Tools,31-Jul-18,8.0 and up
¡Ay Caramba!,FAMILY,NaN,0,0.536132813,1,Paid,$1.99 ,Everyone,Education,13-Jun-14,3.0 and up
mySharpBranded CI Test,TOOLS,NaN,0,0.876953125,1,Free,0,Everyone,Tools,4-Oct-17,4.2 and up
AX Watch for WatchMaker,PERSONALIZATION,NaN,2,0.232421875,1,Paid,$0.99 ,Everyone,Personalization,18-Aug-17,2.3 and up
Brick Breaker BR,GAME,5,7,19,5,Free,0,Everyone,Arcade,23-Jul-18,4.1 and up
AX Window,TOOLS,NaN,0,19,5,Free,0,Everyone,Tools,10-Oct-17,4.3 and up
CD Supply,BUSINESS,NaN,0,14,5,Free,0,Mature 17+,Business,28-May-18,5.0 and up
Texas Bar-B-Q Rewards,FOOD_AND_DRINK,NaN,0,14,5,Free,0,Everyone,Food & Drink,28-Mar-18,4.1 and up
Norwegian For Kids & Babies F,FAMILY,NaN,0,14,5,Paid,$39.99 ,Everyone,Education,24-Sep-15,4.0 and up
ProconLegis-DF,TOOLS,NaN,2,14,5,Free,0,Everyone,Tools,31-Jul-18,4.4 and up
EW PDF,BOOKS_AND_REFERENCE,NaN,0,8.7,5,Free,0,Everyone,Books & Reference,14-Feb-18,4.4 and up
CR Monitor,AUTO_AND_VEHICLES,NaN,1,2.8,5,Free,0,Everyone,Auto & Vehicles,27-Apr-18,4.0 and up
Ay Vamos - PJ. Balvin - Piano,GAME,NaN,0,29,5,Free,0,Everyone,Arcade,9-Jul-18,4.1 and up
4 Paws PH,MEDICAL,NaN,1,29,5,Free,0,Everyone,Medical,25-Jul-18,4.0.3 and up
14thStreetVet,MEDICAL,NaN,0,29,5,Free,0,Everyone,Medical,16-Jul-18,4.0.3 and up
AQ Coach,SPORTS,NaN,0,28,5,Free,0,Everyone,Sports,25-May-18,4.4 and up
BibleRead En Cy Zh Yue,BOOKS_AND_REFERENCE,NaN,0,12,5,Free,0,Everyone,Books & Reference,17-May-18,4.0 and up
Of the wall Arapaho bk,COMMUNICATION,NaN,0,12,5,Free,0,Everyone,Communication,18-Aug-17,4.1 and up
AJ Tracey Music and Lyrics,FAMILY,NaN,0,2.7,5,Free,0,Teen,Entertainment,7-Jun-18,4.0.3 and up
Mee-EW,TOOLS,NaN,0,17,5,Free,0,Everyone,Tools,2-Aug-18,4.1 and up
United Ag Cooperative,BUSINESS,NaN,0,4.2,5,Free,0,Everyone,Business,27-Apr-18,4.4 and up
Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5,1,4.6,5,Free,0,Everyone,Medical,2-Aug-18,4.0 and up
Glanceable Ap Watch Face,PERSONALIZATION,NaN,0,11,5,Paid,$0.99 ,Everyone,Personalization,14-Aug-16,4.4 and up
Wallpapers FN F2000,PERSONALIZATION,NaN,0,11,5,Free,0,Teen,Personalization,16-Apr-18,4.1 and up
Sensenuts eI,BUSINESS,NaN,0,7.2,5,Free,0,Everyone,Business,2-Aug-18,Varies with device
AW,FAMILY,NaN,0,19,5,Free,0,Everyone 10+,Strategy,28-Aug-15,Varies with device
BJ's Community SoundBoard,FAMILY,NaN,0,19,5,Free,0,Teen,Entertainment,11-Feb-18,Varies with device
Shaggy's DM Assistant,PRODUCTIVITY,NaN,0,4,5,Free,0,Everyone,Productivity,14-Jan-18,Varies with device
CE Intelligence,BUSINESS,NaN,0,10,5,Free,0,Everyone,Business,15-Nov-16,4.0 and up
BM CRM,SHOPPING,NaN,0,10,5,Free,0,Everyone,Shopping,31-Oct-17,4.1 and up
SK Bosnia Online EU Teplice,SPORTS,NaN,2,10,5,Free,0,Everyone,Sports,21-Aug-17,4.0 and up
BJ Adams,BUSINESS,NaN,1,26,5,Free,0,Everyone,Business,16-Nov-16,4.0.3 and up
FK Jelgava,SPORTS,NaN,0,26,5,Free,0,Everyone,Sports,22-Feb-18,4.1 and up
FK Mladost Lucani,SPORTS,NaN,0,26,5,Free,0,Everyone,Sports,19-Feb-18,4.1 and up
FK Jonava,SPORTS,NaN,1,26,5,Free,0,Everyone,Sports,21-Feb-18,4.1 and up
FK Železiarne Podbrezová,SPORTS,NaN,0,26,5,Free,0,Everyone,Sports,23-Apr-18,4.1 and up
FK Atlantas,SPORTS,1.5,2,26,5,Free,0,Everyone,Sports,21-Feb-18,4.1 and up
FK Utenis Utena,SPORTS,NaN,0,26,5,Free,0,Everyone,Sports,21-Feb-18,4.1 and up
Pistolet FN GP35 expliqué,BOOKS_AND_REFERENCE,NaN,2,7.9,5,Paid,$5.99 ,Everyone,Books & Reference,19-Aug-14,1.6 and up
Guide for R Programming,BOOKS_AND_REFERENCE,NaN,0,3.7,5,Free,0,Everyone,Books & Reference,25-May-18,4.1 and up
Diamond Engagement Rings,DATING,NaN,0,3.5,5,Free,0,Everyone,Dating,12-Jul-18,4.0 and up
USMLE CK Clinical Knowledge Flashcards 2018 Ed,FAMILY,NaN,0,3.6,5,Free,0,Everyone,Education,21-Jun-18,4.0.3 and up
EF Utilities,TOOLS,NaN,0,3.6,5,Free,0,Everyone,Tools,7-Jun-18,4.3 and up
df-Vegetable,BUSINESS,NaN,0,2.9,5,Free,0,Everyone,Business,11-Jun-18,4.0.3 and up
EY Divest,BUSINESS,NaN,0,54,5,Free,0,Everyone,Business,11-Jul-17,4.0 and up
US 115th CD,TRAVEL_AND_LOCAL,NaN,0,5.7,5,Free,0,Everyone,Travel & Local,3-Nov-17,4.0.3 and up
EY Digital Direct,BUSINESS,NaN,0,27,5,Free,0,Everyone,Business,3-Aug-18,6.0 and up
AJ-COMICS,FOOD_AND_DRINK,NaN,0,27,5,Free,0,Everyone,Food & Drink,13-Jul-18,4.4 and up
Tablet Reminder,MEDICAL,5,4,2.5,5,Free,0,Everyone,Medical,3-Aug-18,4.1 and up
Alif Ba Ta Bullseye,FAMILY,NaN,1,16,5,Paid,$1.99 ,Everyone,Educational,30-May-16,2.2 and up
CQ ESPM,BUSINESS,5,2,3.4,5,Free,0,Everyone,Business,3-Jun-17,4.1 and up
DS Vision,BUSINESS,NaN,0,38,5,Free,0,Everyone,Business,21-May-18,4.1 and up
ExtendedCare Virtual Care Room,MEDICAL,NaN,0,18,5,Free,0,Everyone,Medical,30-Jul-18,5.1 and up
SHUTTLLS CQ - Connect Ride Go,TRAVEL_AND_LOCAL,NaN,0,18,5,Free,0,Everyone,Travel & Local,26-Apr-18,4.3 and up
FK Events,PRODUCTIVITY,NaN,0,18,5,Free,0,Teen,Productivity,27-Jun-18,5.0 and up
CZ-38 (vz 38) pistol explained,BOOKS_AND_REFERENCE,NaN,0,13,5,Paid,$5.99 ,Everyone,Books & Reference,10-Aug-17,1.6 and up
STADE.CD,NEWS_AND_MAGAZINES,NaN,0,1.7,5,Free,0,Everyone,News & Magazines,9-Jun-18,4.0.3 and up
Dive-Store.ch,SPORTS,NaN,0,6.3,5,Paid,$1.99 ,Everyone,Sports,25-Jul-18,4.0 and up
Renesas PMA,MEDICAL,NaN,0,6.6,5,Free,0,Everyone,Medical,18-Jul-18,4.4 and up
EY Catalyst Reader,BUSINESS,NaN,1,8.4,5,Free,0,Everyone,Business,10-Apr-18,5.0 - 7.1.1
BG Editor,PHOTOGRAPHY,NaN,0,8.4,5,Free,0,Everyone,Photography,23-Jul-18,4.1 and up
SpeedApp EV,AUTO_AND_VEHICLES,NaN,0,48,5,Free,0,Everyone,Auto & Vehicles,4-Jul-18,6.0 and up
EY-Parthenon,BUSINESS,NaN,1,30,5,Free,0,Everyone,Business,25-Jun-18,5.1 and up
Clinic Doctor EHr,MEDICAL,5,2,7.1,5,Free,0,Everyone,Medical,3-Aug-18,8.0 and up
Kiosque CD,TRAVEL_AND_LOCAL,NaN,0,22,5,Free,0,Everyone,Travel & Local,18-Jun-18,4.3 and up
C.P. CERVANTES (TOBARRA),SOCIAL,NaN,0,4.9,5,Free,0,Everyone,Social,24-Jul-18,4.0.3 and up
Cy-Fair Houston Chamber,BUSINESS,NaN,0,5,5,Free,0,Everyone,Business,6-Jun-18,4.1 and up
PIO bv Transport App,BUSINESS,NaN,0,73,5,Free,0,Everyone,Business,22-Mar-18,4.1 and up
CL-Customer Care,HEALTH_AND_FITNESS,NaN,2,6.8,5,Free,0,Everyone,Health & Fitness,14-Jun-18,4.0.3 and up
Bk Bee Sales Manager,BUSINESS,NaN,0,2.1,5,Paid,$0.99 ,Everyone,Business,16-Dec-17,4.1 and up
Android P Home KLWP,PERSONALIZATION,NaN,0,2.1,5,Paid,$1.49 ,Everyone,Personalization,14-Apr-18,5.0 and up
USB BT Wi-Fi Color Terminal Modem,TOOLS,NaN,0,7.3,5,Paid,$8.99 ,Everyone,Tools,9-Feb-18,3.2 and up
BL ONLINE PERSONAL TRAINING,HEALTH_AND_FITNESS,NaN,0,41,5,Free,0,Everyone,Health & Fitness,29-Aug-17,4.1 and up
EB Cash Collections,BUSINESS,5,1,4.3,5,Free,0,Everyone,Business,31-Jul-18,4.4 and up
A.J. Green Wallpapers 4 Fans,LIFESTYLE,NaN,0,4.3,5,Free,0,Everyone,Lifestyle,26-May-18,4.0 and up
Ej-buy,BUSINESS,NaN,2,4.1,5,Free,0,Everyone,Business,2-Aug-18,4.1 and up
CZ-Help,BOOKS_AND_REFERENCE,5,2,1.4,5,Free,0,Everyone,Books & Reference,13-Jul-18,4.4 and up
ear super hearing,MEDICAL,NaN,0,1.4,5,Free,0,Everyone,Medical,31-Jul-18,4.0 and up
INTERKINOIS.CD,NEWS_AND_MAGAZINES,NaN,1,1.5,5,Free,0,Everyone,News & Magazines,9-Jun-18,4.0.3 and up
DM Die Roller 9000,TOOLS,NaN,0,3.3,5,Paid,$0.99 ,Everyone,Tools,14-May-18,2.1 and up
Schlaumeier,BOOKS_AND_REFERENCE,NaN,0,0.671875,5,Paid,$0.99 ,Everyone,Books & Reference,17-Jun-15,2.3 and up
Ambient CX,BUSINESS,NaN,0,7.5,5,Free,0,Everyone,Business,9-May-17,2.3.3 and up
DN Driver,FAMILY,NaN,0,7.5,5,Free,0,Everyone,Education,9-Jun-18,4.1 and up
Test Server SMS FA,COMMUNICATION,NaN,0,1.8,5,Free,0,Everyone,Communication,27-Jul-18,4.0.3 and up
CB Heroes,SOCIAL,5,5,1.8,5,Free,0,Everyone,Social,4-Aug-18,5.0 and up
CI Attendance,PRODUCTIVITY,NaN,0,0.16796875,5,Paid,$0.99 ,Everyone,Productivity,17-Aug-13,3.1 and up
CHOSEN - EV Smart Charger,AUTO_AND_VEHICLES,NaN,1,19,10,Free,0,Everyone,Auto & Vehicles,7-Aug-18,4.2 and up
FN pistol model 1903 explained,BOOKS_AND_REFERENCE,NaN,1,19,10,Paid,$6.49 ,Everyone,Books & Reference,5-Sep-15,1.6 and up
HOW TO ASK A GIRL OUT,DATING,NaN,0,19,10,Free,0,Everyone,Dating,16-Jul-18,4.0.3 and up
BG Burger,FOOD_AND_DRINK,NaN,1,19,10,Free,0,Everyone,Food & Drink,29-Mar-17,4.1 and up
Bu Hangi Ünlü?,GAME,NaN,1,19,10,Free,0,Everyone,Trivia,9-Jun-18,4.0.3 and up
D.N. College Meerut,FAMILY,NaN,0,19,10,Free,0,Everyone,Education,26-Mar-18,4.0 and up
Emergency Brain CT,MEDICAL,NaN,2,19,10,Paid,$0.99 ,Everyone,Medical,17-Apr-18,4.1 and up
ei Calc,TOOLS,5,2,19,10,Free,0,Everyone,Tools,12-Oct-15,2.3 and up
Pet Lovers Dating,DATING,NaN,0,14,10,Free,0,Mature 17+,Dating,9-Jul-18,4.1 and up
Out of Bounds BH Demo,GAME,NaN,3,14,10,Free,0,Everyone,Action,19-Nov-15,2.3.3 and up
CG Jobs,FAMILY,5,8,14,10,Free,0,Everyone,Education,1-Aug-18,4.2 and up
Speech Therapy: CH,FAMILY,NaN,0,14,10,Paid,$1.99 ,Everyone,Education,8-Oct-16,2.3.3 and up
Wallpapers FN FAL Light Automatic Rifle,PERSONALIZATION,NaN,0,14,10,Free,0,Teen,Personalization,17-Apr-18,4.1 and up
CI Stream,VIDEO_PLAYERS,NaN,0,14,10,Free,0,Everyone,Video Players & Editors,12-Jul-18,4.4 and up
CB Martial Arts,HEALTH_AND_FITNESS,NaN,0,8.7,10,Free,0,Everyone,Health & Fitness,15-May-18,4.1 and up
Bh Public School,FAMILY,5,2,8.7,10,Free,0,Everyone,Education,21-Mar-18,4.0.3 and up
EU Brazil Green Business Forum,PRODUCTIVITY,NaN,0,8.7,10,Free,0,Everyone,Productivity,18-Apr-17,2.1 and up
EJ messenger,COMMUNICATION,5,1,25,10,Free,0,Teen,Communication,18-Oct-17,4.0 and up
E2CR CL,LIFESTYLE,NaN,0,25,10,Free,0,Everyone,Lifestyle,30-Jun-17,4.1 and up
Doctors Care,MEDICAL,NaN,0,25,10,Free,0,Everyone,Medical,24-Jul-18,4.4 and up
BU Study,FAMILY,5,7,5.6,10,Free,0,Everyone,Education,7-Dec-17,4.0.3 and up
CB Register,FAMILY,5,1,5.6,10,Free,0,Everyone,Entertainment,27-Jun-18,4.1 and up
Basics of Orthopaedics,MEDICAL,5,1,5.6,10,Free,0,Everyone,Medical,27-Jul-18,4.1 and up
Learn R Programming,BOOKS_AND_REFERENCE,NaN,0,29,10,Free,0,Everyone,Books & Reference,28-Apr-18,4.1 and up
EK Carevec,FAMILY,NaN,1,29,10,Free,0,Teen,Entertainment,17-Jul-18,4.3 and up
RT 516 VET,MEDICAL,NaN,0,29,10,Free,0,Everyone,Medical,13-Jul-18,4.0.3 and up
RT 516 VET,MEDICAL,NaN,0,29,10,Free,0,Everyone,Medical,13-Jul-18,4.0.3 and up
Forest Crossing AH,MEDICAL,NaN,0,29,10,Free,0,Everyone,Medical,12-Apr-18,4.0.3 and up
BU School of Public Health,TRAVEL_AND_LOCAL,NaN,0,29,10,Free,0,Everyone,Travel & Local,20-May-18,4.4 and up
Nedir Bu ?,GAME,NaN,0,33,10,Free,0,Everyone,Trivia,18-Mar-18,4.0.3 and up
Dz Camera,TOOLS,NaN,1,33,10,Free,0,Everyone,Tools,19-Nov-17,4.3 and up
SKIN BK,PRODUCTIVITY,NaN,0,33,10,Free,0,Everyone,Productivity,25-Jun-18,4.4W and up
E.U. Trademark Search Tool,BUSINESS,NaN,0,3.1,10,Free,0,Everyone,Business,29-Mar-18,4.0.3 and up
Málaga CF Wallpapers 4 Fans,LIFESTYLE,NaN,2,3.1,10,Free,0,Everyone,Lifestyle,22-May-18,4.0 and up
PLMGSS FR,PRODUCTIVITY,NaN,0,3.1,10,Free,0,Everyone,Productivity,1-Dec-17,4.4 and up
CS go bomb simulator,FAMILY,NaN,7,28,10,Paid,$0.99 ,Everyone,Casual,21-May-18,4.1 and up
HACH Cares,MEDICAL,NaN,0,28,10,Free,0,Everyone,Medical,25-Jul-18,4.0.3 and up
ER Assist,PRODUCTIVITY,5,3,28,10,Free,0,Everyone,Productivity,6-Dec-16,4.1 and up
CZ-45 pistol explained,BOOKS_AND_REFERENCE,NaN,1,12,10,Paid,$5.49 ,Everyone,Books & Reference,10-Aug-17,1.6 and up
CA Latam Partners,BUSINESS,NaN,0,12,10,Free,0,Everyone,Business,3-Aug-18,4.3 and up
AQ Dentals,HEALTH_AND_FITNESS,NaN,0,12,10,Free,0,Everyone,Health & Fitness,22-Dec-17,4.1 and up
Eat Right Diet (by Dt Shreya's Family Diet Clinic),HEALTH_AND_FITNESS,NaN,0,12,10,Free,0,Everyone,Health & Fitness,7-Aug-18,5.0 and up
Freedom Christian BF,LIFESTYLE,NaN,0,12,10,Free,0,Everyone,Lifestyle,22-Feb-16,4.0.3 and up
Mediabox CY,FAMILY,NaN,0,12,10,Free,0,Everyone,Entertainment,31-Dec-17,4.1 and up
Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,MEDICAL,NaN,1,12,10,Free,0,Everyone,Medical,21-Jul-18,4.0 and up
Wallpapers CZ 75 85,PERSONALIZATION,NaN,0,12,10,Free,0,Teen,Personalization,12-Apr-18,4.1 and up
B'H BURGER HEIM,LIFESTYLE,NaN,0,20,10,Free,0,Everyone,Lifestyle,26-May-16,4.0 and up
Dare EMS Protocols,MEDICAL,NaN,0,20,10,Free,0,Everyone 10+,Medical,26-Jul-18,4.1 and up
Thyroid Nodules,MEDICAL,NaN,0,20,10,Free,0,Everyone,Medical,14-Jul-18,4.3 and up
FJ-link,TOOLS,NaN,1,20,10,Free,0,Everyone,Tools,3-Jan-18,4.1 and up
DN Advanced Service Coder,BUSINESS,NaN,0,21,10,Free,0,Everyone,Business,1-Jun-18,4.0 and up
Best Browser BD social networking,COMMUNICATION,4.8,6,21,10,Free,0,Everyone,Communication,4-Jul-18,4.1 and up
following,DATING,NaN,1,21,10,Free,0,Mature 17+,Dating,24-Jul-18,4.2 and up
EB-Chat – For my Events,EVENTS,NaN,2,21,10,Free,0,Teen,Events,16-Nov-17,3.0 and up
P Icon Pack,FAMILY,NaN,0,21,10,Paid,$0.99 ,Everyone,Entertainment,16-Jul-18,4.0.3 and up
DS-Admin,FAMILY,NaN,1,21,10,Free,0,Everyone,Education,5-Mar-18,4.2 and up
EU Whoiswho,BUSINESS,NaN,0,2.7,10,Free,0,Everyone,Business,1-Dec-16,4.0 and up
CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,NaN,2,17,10,Paid,$5.99 ,Everyone,Books & Reference,2-Nov-16,1.6 and up
AQ Service,BUSINESS,NaN,4,17,10,Free,0,Everyone,Business,28-Aug-17,4.4 and up
Hlášenírozhlasu.cz,COMMUNICATION,NaN,0,17,10,Free,0,Everyone,Communication,27-Jul-18,4.1 and up
iCluster - The DX-Cluster database,COMMUNICATION,NaN,0,17,10,Paid,$0.99 ,Everyone,Communication,26-Jul-18,6.0 and up
